Classification	Family
Ligilactobacillus_ruminis	Lactobacillaceae
Catenibacterium_sp000437715	Erysipelatoclostridiaceae
CAG-568_sp000434395	CAG-288
Ureaplasma_sp900544585	Mycoplasmoidaceae
Faecalibacterium_prausnitzii_G	Ruminococcaceae
Gemmiger_formicilis	Ruminococcaceae
Agathobacter_rectalis	Lachnospiraceae
Megasphaera_sp000417505	Megasphaeraceae
Dialister_invisus	Dialisteraceae
Mitsuokella_jalaludinii	Selenomonadaceae
Bifidobacterium_bifidum	Bifidobacteriaceae
Bifidobacterium_sp002742445	Bifidobacteriaceae
Collinsella_aerofaciens_H	Coriobacteriaceae
Collinsella_sp900556495	Coriobacteriaceae
Parolsenella_uli_B	Atopobiaceae
Escherichia_flexneri	Enterobacteriaceae
Prevotella_copri	Bacteroidaceae
Bacteroides_fragilis_A	Bacteroidaceae
unclassified	unclassified
