Classification	Family
Enterococcus_B_faecium	Enterococcaceae
Enterococcus_faecalis	Enterococcaceae
Clostridioides_difficile	Peptostreptococcaceae
Clostridium_sp900547475	Clostridiaceae
Clostridium_P_perfringens	Clostridiaceae
Veillonella_A_seminalis	Veillonellaceae
Negativicoccus_succinicivorans	Negativicoccaceae
Gleimia_europaea_A	Actinomycetaceae
Varibaculum_cambriense	Actinomycetaceae
Klebsiella_pneumoniae	Enterobacteriaceae
Serratia_marcescens_I	Enterobacteriaceae
Bilophila_wadsworthia	Desulfovibrionaceae
Bacteroides_thetaiotaomicron	Bacteroidaceae
Phocaeicola_dorei	Bacteroidaceae
unclassified	unclassified
