Classification	Family
Streptococcus_sp000187445	Streptococcaceae
Holdemanella_sp002299315	Erysipelotrichaceae
Ruminococcus_E_sp003526955	Acutalibacteraceae
Faecalibacterium_prausnitzii_G	Ruminococcaceae
Ruminococcus_B_gnavus	Lachnospiraceae
Faecalimonas_nexilis	Lachnospiraceae
CAG-81_sp900066785	Lachnospiraceae
Megamonas_funiformis	Selenomonadaceae
Bifidobacterium_sp002742445	Bifidobacteriaceae
Collinsella_aerofaciens_H	Coriobacteriaceae
Collinsella_sp900556495	Coriobacteriaceae
Haemophilus_D_parainfluenzae_K	Pasteurellaceae
Sutterella_wadsworthensis_A	Burkholderiaceae
Prevotella_copri_A	Bacteroidaceae
Bacteroides_uniformis	Bacteroidaceae
unclassified	unclassified
