Sample_Id,Group
7600-SR-001,Control
7600-SR-006,Control
7600-SR-012,Control
7600-SR-015,Case
7600-SR-072,Case
8900-SR-0020,Case
8900-SR-0023,Control
8900-SR-0095,Control
8900-SR-0096,Control
8900-SR-0201,Case
8900-SR-0202,Control
8900-SR-0203,Case
8900-SR-0204,Control
8900-SR-0205,Control
8900-SR-0206,Control
8900-SR-0207,Control
8900-SR-0208,Control
8900-SR-0209,Control
8900-SR-0210,Control
8900-SR-0211,Control
8900-SR-0212,Control
8900-SR-0213,Case
8900-SR-0214,Control
8900-SR-0215,Control
8900-SR-0216,Control
8900-SR-0217,Control
8900-SR-0218,Control
8900-SR-0220,Case
8900-SR-0221,Control
8900-SR-0222,Case
8900-SR-0223,Control
8900-SR-0224,Control
8900-SR-0225,Control
