ARG	ORF_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bacteroides_fragilis_A_30_length_150632_cov_60.068908_119_CfiA14	750	705	CfiA14	100.0	carbapenem	antibiotic inactivation	CfiA beta-lactamase	100.00	Bacteroides fragilis A
Bacteroides_fragilis_A_110_length_71804_cov_59.042384_32_tetQ	1947	1611	tet(Q)	98.9	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	98.63	Bacteroides fragilis A
Bacteroides_fragilis_A_4221_length_2674_cov_92.232150_1_tetQ	1974	1748	tet(Q)	97.56	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Bacteroides fragilis A
Bifidobacterium_sp002742445_2_length_117119_cov_71.858992_60_ErmX	855	0	ErmX	90.14	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.00	Bifidobacterium sp002742445
Bifidobacterium_sp002742445_8_length_64332_cov_83.754453_52_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3561	2874	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	98.06	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.00	Bifidobacterium sp002742445
Campylobacter_D_coli_2_length_391878_cov_43.505343_137_OXA193	774	404	OXA-193	100.0	penam	antibiotic inactivation	OXA beta-lactamase; OXA-61-like beta-lactamase	100.00	Campylobacter D coli
Campylobacter_D_coli_1_length_1005181_cov_40.205373_327_Campylobacter_jejuni_gyrA_conferring_resistance_to_fluoroquinolones	2568	1567	Campylobacter jejuni gyrA conferring resistance to fluoroquinolones	90.51	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrA	99.07	Campylobacter D coli
Enterococcus_A_raffinosus_20_length_79543_cov_7.740477_70_APH3IIIa	795	80	APH(3')-IIIa	100.0	aminoglycoside antibiotic	antibiotic inactivation	APH(3')	100.00	Enterococcus A raffinosus
Enterococcus_A_raffinosus_55_length_3865_cov_5.155906_4_CTXM15	876	82	CTX-M-15	100.0	cephalosporin; penam	antibiotic inactivation	CTX-M beta-lactamase	100.00	Enterococcus A raffinosus
Escherichia_coli_D_3_length_49727_cov_4.130999_18_EC15	1134	118	EC-15	96.55	cephalosporin	antibiotic inactivation	EC beta-lactamase	100.00	Escherichia coli D
Escherichia_coli_D_4_length_46890_cov_3.765475_37_cpxA	1374	120	cpxA	99.12	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_8_length_36650_cov_2.994890_8_TolC	1489	121	TolC	100.0	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	99.60	Escherichia coli D
Escherichia_coli_D_14_length_28392_cov_2.979991_3_mdtH	1209	92	mdtH	99.75	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
