ARG	ORF_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Enterococcus_B_faecium_46_length_90607_cov_473.159223_91_dfrG	498	3471	dfrG	100.0	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100.00	Enterococcus B faecium
Enterococcus_B_faecium_138_length_48701_cov_367.818382_33_AAC6Ii	549	2450	AAC(6')-Ii	99.45	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')	100.00	Enterococcus B faecium
Enterococcus_B_faecium_236_length_31132_cov_498.007851_22_tetM	1920	31174	tet(M)	96.09	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Enterococcus B faecium
Enterococcus_B_faecium_456_length_16132_cov_317.706537_9_Enterococcus_faecium_liaS_mutant_conferring_daptomycin_resistance	1068	5521	Enterococcus faecium liaS mutant conferring daptomycin resistance	97.18	peptide antibiotic	antibiotic target alteration; antibiotic efflux	daptomycin resistant liaS	100.00	Enterococcus B faecium
Enterococcus_B_faecium_456_length_16132_cov_317.706537_10_Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance	633	3456	Enterococcus faecium liaR mutant conferring daptomycin resistance	98.1	peptide antibiotic	antibiotic target alteration; antibiotic efflux	daptomycin resistant liaR	100.00	Enterococcus B faecium
Escherichia_flexneri_1_length_154667_cov_17.790553_90_YojI	1644	579	YojI	100.0	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_3_length_130092_cov_16.972223_67_Escherichia_coli_mdfA	1233	384	Escherichia coli mdfA	97.07	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_4_length_127299_cov_19.881142_58_leuO	945	497	leuO	99.04	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_7_length_93157_cov_24.239522_28_Escherichia_coli_ampC_betalactamase	1134	548	Escherichia coli ampC beta-lactamase	97.88	cephalosporin; penam	antibiotic inactivation	ampC-type beta-lactamase	100.00	Escherichia flexneri
Escherichia_flexneri_10_length_75268_cov_22.748528_31_msbA	1749	635	msbA	100.0	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_11_length_75257_cov_19.548709_7_emrR	531	219	emrR	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_11_length_75257_cov_19.548709_8_emrA	1173	343	emrA	99.74	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_11_length_75257_cov_19.548709_9_emrB	1539	515	emrB	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_11_length_75257_cov_19.548709_14_rsmA	186	80	rsmA	85.25	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_16_length_66107_cov_19.292921_44_Escherichia_coli_acrA	1194	865	Escherichia coli acrA	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
