ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bifidobacterium_longum_306_length_40176_cov_438.673612:_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3564	21179	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	92.65	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.08	Bifidobacterium longum
Clostridioides_difficile_1_length_711066_cov_14.699770:_vanT_gene_in_vanG_cluster	2139	784	vanT gene in vanG cluster	61.38	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	100.00	Clostridioides difficile
Clostridioides_difficile_1_length_711066_cov_14.699770:_vanXY_gene_in_vanG_cluster	807	317	vanXY gene in vanG cluster	58.82	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY	105.51	Clostridioides difficile
Clostridioides_difficile_1_length_711066_cov_14.699770:_vanG	1101	343	vanG	67.03	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.87	Clostridioides difficile
Clostridioides_difficile_1_length_711066_cov_14.699770:_cdeA	1326	442	cdeA	99.32	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	100.00	Clostridioides difficile
Clostridioides_difficile_4_length_285344_cov_15.917207:_vanY_gene_in_vanF_cluster	648	267	vanY gene in vanF cluster	38.62	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	73.38	Clostridioides difficile
Clostridioides_difficile_5_length_245101_cov_14.724505:_vanW_gene_in_vanI_cluster	1260	397	vanW gene in vanI cluster	27.39	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	112.33	Clostridioides difficile
Clostridioides_difficile_6_length_208727_cov_18.925244:_CDD1	954	372	CDD-1	95.58	carbapenem	antibiotic inactivation	CDD beta-lactamase	101.60	Clostridioides difficile
Clostridioides_difficile_8_length_164449_cov_19.932269:_vanY_gene_in_vanG_cluster	717	242	vanY gene in vanG cluster	34.04	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	85.30	Clostridioides difficile
Clostridioides_difficile_11_length_140746_cov_20.484044:_vanT_gene_in_vanG_cluster	1158	423	vanT gene in vanG cluster	34.78	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	54.07	Clostridioides difficile
Clostridioides_difficile_15_length_102453_cov_18.614695:_tetM	1920	1476	tet(M)	90.3	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Clostridioides difficile
Clostridioides_difficile_16_length_85338_cov_14.723918:_vanW_gene_in_vanI_cluster	1470	412	vanW gene in vanI cluster	33.76	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	131.10	Clostridioides difficile
Clostridium_paraputrificum_3_length_174436_cov_9.020165:_vanY_gene_in_vanF_cluster	861	132	vanY gene in vanF cluster	36.17	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	97.61	Clostridium paraputrificum
Clostridium_paraputrificum_6_length_164282_cov_10.161244:_vanW_gene_in_vanI_cluster	1440	260	vanW gene in vanI cluster	26.11	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	128.42	Clostridium paraputrificum
Clostridium_paraputrificum_21_length_67520_cov_8.635811:_nimE	477	73	nimE	55.7	nitroimidazole antibiotic	antibiotic inactivation	nitroimidazole reductase	92.94	Clostridium paraputrificum
Clostridium_paraputrificum_35_length_26209_cov_8.191183:_vanT_gene_in_vanG_cluster	1161	206	vanT gene in vanG cluster	35.14	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	54.21	Clostridium paraputrificum
Enterobacter_himalayensis_61_length_129618_cov_10.071733:_acrD	3114	3298	acrD	91.9	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_61_length_129618_cov_10.071733:_adeF	3153	927	adeF	60.99	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.15	Enterobacter himalayensis
Enterobacter_himalayensis_61_length_129618_cov_10.071733:_oqxA	1176	324	oqxA	91.3	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_79_length_111160_cov_7.358940:_marA	381	255	marA	94.35	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	99.21	Enterobacter himalayensis
Enterobacter_himalayensis_112_length_93532_cov_8.856852:_Escherichia_coli_mdfA	1233	1174	Escherichia coli mdfA	87.47	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_114_length_93084_cov_8.583571:_baeR	723	698	baeR	95.0	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_114_length_93084_cov_8.583571:_mdtC	3078	3169	mdtC	92.2	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_114_length_93084_cov_8.583571:_mdtB	3123	2444	mdtB	90.29	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_119_length_91103_cov_10.253119:_emrB	1548	2079	emrB	93.66	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.59	Enterobacter himalayensis
Enterobacter_himalayensis_119_length_91103_cov_10.253119:_emrR	531	655	emrR	94.86	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_129_length_87528_cov_9.924388:_acrB	3147	5624	acrB	93.04	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.90	Enterobacter himalayensis
Enterobacter_himalayensis_197_length_60150_cov_7.396406:_Klebsiella_pneumoniae_KpnE	363	64	Klebsiella pneumoniae KpnE	84.17	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_197_length_60150_cov_7.396406:_Klebsiella_pneumoniae_KpnF	330	37	Klebsiella pneumoniae KpnF	88.07	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_274_length_46120_cov_10.220493:_ramA	342	77	ramA	96.46	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	91.13	Enterobacter himalayensis
Enterobacter_himalayensis_275_length_46012_cov_10.319168:_vanG	1098	276	vanG	38.92	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.58	Enterobacter himalayensis
Enterobacter_himalayensis_372_length_33114_cov_11.974440:_CRP	633	878	CRP	99.05	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_422_length_28927_cov_13.113432:_PmrF	984	547	PmrF	84.92	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	101.55	Enterobacter himalayensis
Enterobacter_himalayensis_483_length_24563_cov_9.214542:_msbA	1749	1548	msbA	94.85	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_521_length_22602_cov_16.596399:_bacA	822	917	bacA	94.87	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_526_length_22274_cov_13.561906:_ACT17	1146	315	ACT-17	100.0	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation	ACT beta-lactamase	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_561_length_21025_cov_11.241631:_FosA2	426	97	FosA2	96.45	phosphonic acid antibiotic	antibiotic inactivation	fosfomycin thiol transferase	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_1122_length_8910_cov_11.525805:_adeF	3114	1106	adeF	40.82	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	97.92	Enterobacter himalayensis
Enterobacter_himalayensis_151_length_77793_cov_13.170727:_Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin	1392	2752	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	94.17	phosphonic acid antibiotic	antibiotic target alteration	antibiotic-resistant UhpT	100.00	Enterobacter himalayensis
