ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Enterococcus_faecalis_1_560_dfrE	495	2006	dfrE	97.56	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100	Enterococcus faecalis
Enterococcus_faecalis_2_201_vanT_gene_in_vanG_cluster	1116	5146	vanT gene in vanG cluster	34.24	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.11	Enterococcus faecalis
Enterococcus_faecalis_4_27_emeA	1155	3640	emeA	97.71	disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	97.71	Enterococcus faecalis
Enterococcus_faecalis_6_113_tetM	1920	8055	tet(M)	98.9	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100	Enterococcus faecalis
Enterococcus_faecalis_9_33_vanY_gene_in_vanB_cluster	711	3010	vanY gene in vanB cluster	51.5	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	88.06	Enterococcus faecalis
Enterococcus_faecalis_9_111_lsaA	1497	5459	lsaA	99.6	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; pleuromutilin antibiotic	antibiotic target protection	lsa-type ABC-F protein	100	Enterococcus faecalis
Enterococcus_faecalis_11_62_efrA	1719	7275	efrA	99.65	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	99.48	Enterococcus faecalis
Pseudomonas_aeruginosa_1_55_MexK	3078	10876	MexK	100	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_1_56_MexJ	1104	3672	MexJ	99.73	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_1_57_MexL	639	2190	MexL	100	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_1_98_ArmR	162	633	ArmR	94.34	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_1_205_YajC	339	1500	YajC	100	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; oxazolidinone antibiotic; glycopeptide antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_1_547_PDC35	1194	4393	PDC-35	100	monobactam; carbapenem; cephalosporin	antibiotic inactivation	PDC beta-lactamase	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_1_556_APH3IIb	807	2944	APH(3')-IIb	98.88	aminoglycoside antibiotic	antibiotic inactivation	APH(3')	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_1_574_bcr1	1209	4517	bcr-1	99.75	bicyclomycin-like antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_2_234_OprM	1458	4286	OprM	100	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_2_235_MexB	3141	11154	MexB	99.62	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_2_236_MexA	1152	4116	MexA	100	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_3_74_cprS	1296	4671	cprS	99.54	peptide antibiotic	antibiotic target alteration; antibiotic efflux	pmr phosphoethanolamine transferase	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_3_75_cprR	672	2670	cprR	100	peptide antibiotic	antibiotic target alteration; antibiotic efflux	pmr phosphoethanolamine transferase	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_4_228_ParS	1287	4230	ParS	99.77	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr)	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_4_229_ParR	708	2820	ParR	99.15	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr)	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_5_177_PmpM	1434	4504	PmpM	99.58	fluoroquinolone antibiotic; aminoglycoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_5_242_mexM	1158	3654	mexM	98.96	phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_5_243_mexN	3111	9830	mexN	99.61	phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_6_39_Pseudomonas_aeruginosa_catB7	639	2135	Pseudomonas aeruginosa catB7	98.58	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_6_69_vanW_gene_in_vanG_cluster	822	2903	vanW gene in vanG cluster	32.58	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	97.15	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_6_283_rsmA	186	679	rsmA	100	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_6_305_vanH_gene_in_vanB_cluster	990	4032	vanH gene in vanB cluster	40.91	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	101.86	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_7_165_Pseudomonas_aeruginosa_emrE	333	1425	Pseudomonas aeruginosa emrE	100	aminoglycoside antibiotic	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	100	Pseudomonas aeruginosa
