ARG	ORF_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Enterococcus_B_faecium_2_length_114279_cov_25.756196_33_AAC6Ii	549	144	AAC(6')-Ii	98.9	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')	100.00	Enterococcus B faecium
Enterococcus_B_faecium_3_length_109909_cov_35.051805_29_dfrG	498	284	dfrG	100.0	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100.00	Enterococcus B faecium
Enterococcus_B_faecium_60_length_16134_cov_16.360719_10_Enterococcus_faecium_liaS_mutant_conferring_daptomycin_resistance	1068	279	Enterococcus faecium liaS mutant conferring daptomycin resistance	97.18	peptide antibiotic	antibiotic target alteration; antibiotic efflux	daptomycin resistant liaS	100.00	Enterococcus B faecium
Enterococcus_B_faecium_60_length_16134_cov_16.360719_11_Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance	633	125	Enterococcus faecium liaR mutant conferring daptomycin resistance	98.1	peptide antibiotic	antibiotic target alteration; antibiotic efflux	daptomycin resistant liaR	100.00	Enterococcus B faecium
Escherichia_coli_D_1_length_372159_cov_113.966117_47_marA	384	920	marA	100.0	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan; penem	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	100.00	Escherichia coli D
Escherichia_coli_D_2_length_350170_cov_167.380979_110_TolC	1489	4941	TolC	100.0	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan; penem	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	99.60	Escherichia coli D
Escherichia_coli_D_2_length_350170_cov_167.380979_129_bacA	822	2286	bacA	99.27	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	100.00	Escherichia coli D
Escherichia_coli_D_2_length_350170_cov_167.380979_320_AcrS	663	2766	AcrS	98.18	fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_2_length_350170_cov_167.380979_321_AcrE	1158	3963	AcrE	99.48	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_2_length_350170_cov_167.380979_322_AcrF	3105	10873	AcrF	99.32	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_3_length_342953_cov_159.554060_280_rsmA	186	781	rsmA	85.25	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_3_length_342953_cov_159.554060_286_emrB	1539	3531	emrB	99.8	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_3_length_342953_cov_159.554060_287_emrA	1173	2731	emrA	99.74	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_3_length_342953_cov_159.554060_288_emrR	531	1319	emrR	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_4_length_307978_cov_122.433323_93_PmrF	969	1750	PmrF	100.0	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	Escherichia coli D
Escherichia_coli_D_4_length_307978_cov_122.433323_139_YojI	1644	2702	YojI	99.27	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_5_length_226702_cov_184.031931_103_mdtE	1158	3618	mdtE	99.74	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_5_length_226702_cov_184.031931_104_mdtF	3114	9396	mdtF	99.9	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_5_length_226702_cov_184.031931_106_gadW	729	4008	gadW	95.04	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_5_length_226702_cov_184.031931_107_gadX	825	5075	gadX	93.43	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_6_length_213663_cov_150.788529_16_Escherichia_coli_acrA	1194	3792	Escherichia coli acrA	99.75	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_6_length_213663_cov_150.788529_17_acrB	3150	8421	acrB	99.9	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_6_length_213663_cov_150.788529_103_Escherichia_coli_ampH_betalactamase	1158	3635	Escherichia coli ampH beta-lactamase	99.48	cephalosporin; penam	antibiotic inactivation	ampC-type beta-lactamase	100.00	Escherichia coli D
Escherichia_coli_D_7_length_192600_cov_160.307866_40_mdtM	1233	3602	mdtM	98.05	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
